GENE	Liver_Normal.Tissue: GSM176332	Liver_Normal.Tissue: GSM176333	Liver_Normal.Tissue: GSM176334	Liver_Normal.Tissue: GSM176335	Liver_Normal.Tissue: GSM279063	Liver_Normal.Tissue: GSM279064	Liver_Normal.Tissue: GSM279065
AKT3	26.12	26.48	25.77	25.38	25.84	25.26	28.75
MED6	96.27	82.46	79.91	105.23	120.99	130.83	81.09
NR2E3	29.38	26.79	29.89	26.64	29.56	28.60	30.75
NAALAD2	15.30	14.91	15.28	16.62	20.52	15.54	18.99
CDKN2B-AS1	27.61	29.14	27.27	24.72	25.99	26.64	24.52
LOC100049716	92.97	106.23	60.91	61.86	86.27	95.48	104.24
NAALADL1	79.19	65.05	67.14	72.47	62.38	64.02	60.48
ACOT8	208.38	201.55	182.96	205.71	204.72	209.98	204.11
ABI1	246.77	223.15	286.78	248.00	393.69	335.04	312.97
GNPDA1	341.16	213.10	367.04	246.77	142.05	171.85	209.92
KCNE3	54.63	47.91	53.92	48.23	46.27	46.34	51.41
SNHG8	841.49	1321.17	661.64	711.44	632.62	645.83	728.26
ZBTB33	329.31	186.68	256.80	252.27	311.63	306.34	289.52
CDH2	378.59	479.07	415.35	408.08	344.82	337.23	295.89
ZSCAN30	122.28	139.44	162.74	166.53	155.83	147.72	130.06
TANK	175.58	235.68	211.16	191.59	269.98	261.67	269.10
C19orf64	180.01	167.34	167.67	176.31	203.28	196.15	185.66
TMEM170B	65.71	56.37	135.05	51.18	223.73	208.17	188.80
SRA1	354.17	239.15	395.57	409.69	322.67	313.52	361.79
HOTAIR	11.50	11.29	12.38	11.53	11.99	12.59	11.78
ZGLP1	221.95	216.00	155.95	166.08	271.97	266.00	281.76
LOC100126784	34.34	31.75	40.64	28.64	27.42	24.64	26.92
LOC100127886	11.42	10.17	12.61	11.70	12.08	11.50	12.68
LOC100127891	59.25	51.12	40.63	46.56	46.56	54.83	49.52
LOC100127971	32.96	31.74	29.36	30.06	29.16	48.54	30.82
LOC100127972	37.42	37.14	37.55	33.29	36.90	39.68	44.84
LOC100127980	66.88	70.41	83.52	43.40	17.82	25.70	16.41
C8orf88	24.31	25.40	25.33	24.86	41.78	47.31	51.34
LOC100128003	97.05	86.86	67.78	70.90	60.27	73.13	81.27
LOC100128008	154.70	111.80	74.93	109.36	55.76	49.34	51.21
WWTR1-AS1	16.71	19.26	21.02	19.15	22.61	22.58	19.41
SLC2A3P1	1209.09	1437.45	2403.63	1020.17	1935.78	2002.80	2033.85
FAM229A	302.71	254.21	182.24	143.81	129.97	180.84	175.11
LOC100128074	62.15	55.86	61.27	52.63	65.13	57.86	73.67
LOC100128090	27.56	25.86	22.78	26.70	25.89	24.25	28.34
LOC100128093	35.17	21.95	24.02	19.54	35.91	33.24	42.72
ST8SIA6-AS1	55.04	53.33	58.35	67.98	43.97	34.54	39.24
STAU2-AS1	51.80	47.24	60.62	66.25	52.20	50.08	48.89
LINC01233	13.43	12.79	12.05	12.11	13.91	14.16	11.34
LOC100128175	18.11	19.74	18.00	20.65	24.24	26.27	19.84
LOC100128178	22.77	21.55	18.94	23.10	23.13	20.77	21.22
LOC100128180	11.34	11.48	11.69	10.17	10.68	11.84	12.31
TMPO-AS1	26.50	25.65	29.70	30.24	25.33	27.92	27.34
LOC100128193	129.62	120.70	109.52	112.59	119.83	102.52	80.57
LOC100128198	47.79	56.98	63.23	82.48	44.46	56.78	44.19
GAFA3	14.09	14.69	11.75	14.26	15.78	13.58	14.80
LOC100128259	74.01	67.44	66.74	62.99	51.13	48.80	46.92
LOC100128288	39.69	42.94	45.75	41.89	63.71	98.29	80.25
LOC100128309	62.05	61.43	45.38	43.29	40.06	43.83	49.89
LOC100128325	51.24	34.84	72.54	66.03	39.54	40.43	35.88
LOC100128334	220.82	240.48	307.13	194.09	204.87	181.57	166.90
LOC100128361	38.19	48.46	55.80	51.01	41.97	47.24	53.58
LOC100128370	23.61	23.20	20.36	24.89	18.52	20.65	24.72
LOC100128392	20.55	26.25	21.85	21.69	25.18	24.30	24.89
LOC100128403	51.46	65.09	48.99	42.20	53.63	98.26	69.18
LOC100128414	15.52	14.43	16.43	14.07	14.89	13.35	16.19
LOC100128434	20.92	22.07	18.42	18.83	34.34	23.61	23.42
LOC100128443	70.83	58.77	92.10	86.16	52.19	63.22	78.56
LOC100128490	40.72	55.94	45.08	50.60	107.53	75.15	73.56
C20orf78	95.53	82.64	83.20	52.53	76.25	102.44	95.43
LOC100128500	86.12	58.15	138.02	101.58	119.54	121.21	100.75
LOC100128510	369.57	449.57	426.85	352.99	389.48	447.42	356.88
NEBL-AS1	20.09	23.73	18.57	24.58	22.06	22.49	20.27
LOC100128550	355.03	202.97	458.00	236.11	293.90	335.25	215.96
LOC100128570	23.36	22.61	21.86	22.89	19.75	20.39	23.41
LOC100128576	173.90	216.39	138.61	130.64	196.30	204.56	205.81
SLC8A1-AS1	19.59	17.33	18.99	16.65	15.08	16.80	17.67
LOC100128641	21.43	17.42	17.60	18.32	20.17	18.06	22.03
LOC100128661	50.38	42.68	36.13	60.82	43.22	40.32	36.30
LOC100128663	45.89	56.22	39.20	32.24	39.37	32.93	25.80
OST4	1313.32	1206.24	1200.57	1473.88	810.18	904.33	888.48
LOC100128737	88.51	82.14	77.99	80.00	60.20	59.10	72.21
LOC100128751	95.06	70.07	59.08	67.99	55.89	61.11	54.25
LINC00476	21.66	32.99	27.12	28.19	43.29	34.01	39.45
LOC100128821	39.35	30.79	25.07	28.60	25.63	28.01	25.40
LINC01003	39.27	142.71	28.83	62.53	96.44	93.14	78.88
LINC01165	19.43	20.64	16.59	18.46	20.74	17.18	21.38
LOC100128843	46.03	39.73	47.83	45.56	60.81	58.53	46.12
VPS9D1-AS1	183.60	207.33	142.29	136.97	174.97	178.33	114.17
LOC100128907	59.10	78.61	103.46	103.48	85.67	85.05	92.54
LOC100128909	89.14	45.41	46.20	44.63	40.98	30.59	41.80
LOC100128918	41.18	25.92	28.22	20.73	27.69	29.34	33.68
LOC100128919	112.22	196.30	286.46	80.58	177.23	191.69	174.37
LOC100128922	15.33	17.35	14.78	17.17	14.79	15.24	14.20
ZBTB42	67.99	61.42	65.15	81.41	41.22	39.05	49.23
MAPT-AS1	24.20	22.79	19.80	22.48	23.40	26.26	23.82
LOC100128988	30.78	29.06	26.84	40.19	32.71	33.35	37.75
C20orf181	96.16	103.13	97.20	102.70	97.67	79.63	110.00
LOC100129006	52.59	69.61	31.80	40.36	40.24	46.74	85.88
LOC100129014	41.59	39.67	36.89	32.85	42.47	36.82	48.23
LOC100129015	36.03	49.26	47.45	56.70	34.25	34.08	33.95
LOC100129022	56.26	78.21	72.33	60.24	80.19	94.72	112.45
LOC100129034	61.89	70.85	69.57	67.85	80.27	83.74	74.49
LOC100129041	58.50	49.49	56.35	52.58	51.90	48.22	43.58
LOC100129087	61.47	80.44	67.46	56.06	55.94	71.65	67.07
LOC100129098	109.95	95.43	127.08	96.42	92.68	86.37	102.70
LOC100129104	31.64	42.11	42.19	48.00	31.72	36.69	29.48
LOC100129105	239.34	244.37	246.19	180.67	142.74	146.55	121.58
LOC100129122	61.12	53.90	50.66	48.63	65.87	61.03	68.36
KHDC1L	22.15	17.88	17.99	25.62	20.89	22.44	20.38
LOC100129129	33.95	34.87	32.74	37.03	31.25	34.86	28.86
LOC100129175	34.83	29.70	33.82	34.54	35.63	32.37	30.98
LOC100129194	28.83	23.10	18.70	17.58	27.72	24.38	22.74
ZSCAN16-AS1	24.81	28.29	28.65	26.30	31.92	37.42	30.95
TOPORS-AS1	208.49	179.87	159.66	217.17	116.17	98.39	127.63
LOC100129268	63.87	49.30	78.73	70.07	80.47	87.00	112.32
C1orf68	32.93	47.78	36.28	42.15	38.09	42.76	25.20
LOC100129289	20.43	20.11	23.07	17.55	20.34	20.04	22.05
LOC100129335	28.93	30.90	25.76	26.44	21.65	22.55	22.71
LOC100129346	21.38	24.63	23.01	28.07	28.81	28.27	34.63
SMIM10L1	772.13	614.39	1005.29	635.39	676.95	487.58	477.38
GABPB1-AS1	250.40	243.08	228.57	178.86	143.26	148.94	124.08
LOC100129410	26.96	22.46	20.74	27.29	19.81	21.19	22.04
C8orf5	21.91	26.35	21.23	24.28	22.24	22.84	20.34
LOC100129476	19.44	17.16	20.03	22.54	23.62	18.67	20.61
ZNF37BP	32.97	41.77	43.49	35.97	67.64	61.19	48.39
LOC100129500	50.53	48.58	63.06	59.74	41.33	37.20	42.22
LOC100129502	80.30	113.67	182.59	137.72	133.35	110.41	125.28
PP13	80.05	90.20	76.23	110.08	128.79	121.27	177.53
LOC100129516	70.99	76.64	49.30	63.58	39.90	39.66	51.78
LOC100129546	22.59	20.47	19.08	18.09	18.03	19.10	19.94
LOC100129562	31.97	30.82	42.49	40.09	17.74	18.78	15.19
LOC100129563	108.14	80.76	84.81	64.10	152.22	125.79	126.24
LOC100129592	34.26	37.49	39.35	33.58	42.49	43.77	46.11
LINC00462	17.85	17.68	20.83	18.99	17.02	17.09	18.70
LOC100129602	13.24	15.08	13.30	14.89	14.22	12.61	12.92
LOC100129617	87.31	73.31	85.95	75.87	75.57	59.38	77.51
LOC100129624	33.67	34.91	33.19	41.46	41.18	50.22	33.50
LOC100129637	114.06	116.36	99.56	79.02	84.34	81.37	93.10
LOC100129656	23.16	20.59	20.63	22.44	22.47	25.95	21.32
FGF13-AS1	25.69	21.34	19.92	20.18	27.06	21.89	22.30
LOC100129665	18.09	19.62	19.69	21.86	29.41	22.79	25.10
MICA	95.08	95.40	153.54	190.73	244.18	212.03	327.28
LOC100129673	68.96	56.65	87.38	54.35	81.27	74.98	75.10
LOC100129686	24.83	19.13	21.37	29.64	16.36	19.32	16.35
ARRDC3-AS1	88.45	173.77	94.29	104.10	106.54	68.49	126.45
LINC01126	50.44	103.48	41.03	46.42	55.20	49.65	56.53
LOC100129762	27.34	28.30	30.25	24.98	38.89	34.45	28.56
CCDC152	13.23	12.64	15.45	12.65	14.49	14.05	14.14
SLC25A21-AS1	16.67	16.66	15.02	14.70	19.06	19.59	20.15
MRVI1-AS1	289.36	309.67	395.85	430.27	185.10	239.59	202.56
LOC100129828	16.48	16.55	15.96	16.02	17.03	16.97	18.66
LOC100129837	52.63	56.95	38.29	53.66	43.09	45.40	34.65
PCOLCE-AS1	161.90	229.76	336.93	232.45	245.08	270.13	235.93
LOC100129857	566.88	439.34	551.65	360.49	1120.32	1061.29	1097.04
SCOC-AS1	23.86	20.76	24.46	21.84	24.43	21.50	22.42
LOC100129865	23.60	23.63	31.27	35.54	42.97	35.72	19.63
LOC100129890	25.60	25.08	25.25	26.65	26.07	29.50	35.59
LOC100129895	49.28	79.98	46.91	51.71	59.25	65.50	60.28
RPS27P19	565.31	360.81	279.89	224.19	322.29	336.63	257.91
LOC100129907	60.45	66.11	56.34	42.06	48.38	53.99	50.42
LOC100129932	46.75	47.61	39.61	40.39	43.73	34.87	41.46
LOC100129951	29.44	49.05	42.32	38.15	47.53	50.72	38.84
SDCBPP2	14.41	13.90	13.17	14.45	14.74	12.50	14.12
LOC100129965	201.20	150.97	158.74	143.74	194.00	189.73	225.82
FAM205C	59.39	57.18	58.25	51.41	46.04	39.82	55.67
LOC100129973	13.76	14.08	15.13	13.52	14.10	15.05	15.85
LOC100129988	19.48	15.97	18.15	17.31	17.12	16.46	16.49
LOC100130054	46.48	51.87	43.91	39.07	44.77	41.58	43.88
LOC100130089	21.62	23.72	22.39	25.74	21.73	25.99	23.49
LOC100130100	201.90	126.42	138.19	172.53	123.64	122.62	123.64
LOC100130123	269.25	434.47	345.25	297.45	181.61	180.18	177.10
LOC100130130	100.96	120.16	135.85	118.90	133.93	176.88	132.50
LOC100130134	13.01	13.66	13.64	14.74	12.64	14.24	13.78
LOC100130212	33.09	21.24	46.25	27.09	19.96	23.18	24.20
LOC100130219	34.77	38.43	38.43	38.96	39.99	33.52	40.20
LOC100130229	13.40	13.47	15.75	16.72	15.75	13.40	15.30
LOC100130232	1956.69	2683.69	2938.57	1491.35	2853.86	2768.52	2853.86
LOC100130262	61.88	87.44	69.64	89.96	70.47	67.28	58.82
LOC100130291	30.86	30.09	30.51	18.67	29.64	32.07	23.53
GAFA2	316.95	312.78	271.01	272.35	295.37	227.04	269.75
LOC100130332	28.47	29.76	26.51	31.36	25.33	23.75	22.47
LOC100130344	39.08	33.58	43.59	35.86	32.44	32.19	35.46
TMEM262	112.77	81.30	85.54	113.91	43.80	50.68	47.63
LOC100130349	20.01	18.84	19.87	19.42	20.78	17.17	18.19
LOC100130356	25.13	17.24	17.35	19.32	22.88	38.73	26.38
LOC100130360	27.61	33.45	22.56	37.18	33.76	34.21	31.00
LOC100130389	33.30	41.87	32.35	34.49	30.75	29.91	26.23
LOC100130423	10.09	10.72	12.01	11.64	12.69	11.44	11.40
LOC100130426	69.65	55.23	83.40	60.55	51.55	53.50	91.72
LOC100130428	26.84	36.47	30.53	34.37	30.76	34.06	31.59
PP14571	18.07	18.98	18.89	20.34	15.83	19.33	14.93
LOC100130452	24.85	22.28	33.41	24.21	25.69	20.70	22.80
LOC100130458	17.51	16.68	18.03	22.06	18.74	16.73	20.67
LOC100130464	44.47	108.14	91.67	50.39	78.08	58.09	44.96
LOC100130494	251.79	378.93	235.44	279.42	139.25	133.44	133.76
LOC100130502	82.84	102.19	102.14	95.92	112.88	74.09	83.67
LOC100130503	12.21	11.57	11.27	11.10	11.90	11.65	12.21
LOC100130536	77.28	64.55	63.54	66.83	72.97	71.35	76.00
LOC100130541	30.15	46.28	56.82	43.60	30.20	29.74	27.97
LOC100130544	99.56	107.88	81.69	91.61	115.58	95.88	116.77
LOC100130548	17.37	17.72	15.90	17.01	18.09	17.31	21.98
NFYC-AS1	67.61	82.84	54.29	49.27	86.43	72.00	85.71
LOC100130598	24.43	26.28	26.58	31.68	21.12	19.08	19.54
PP12708	12.95	13.78	14.24	16.74	14.92	14.65	15.03
PRR32	35.81	30.96	42.60	56.45	31.79	38.40	33.68
RPL15P22	86.44	204.36	144.82	142.16	157.27	132.94	153.44
LOC100130633	262.36	314.50	252.27	355.79	189.87	194.15	209.24
LOC100130672	35.95	34.68	35.98	33.61	33.89	35.43	35.65
TP53TG3HP	114.82	95.57	175.23	92.83	107.21	94.17	107.14
LOC100130703	11.10	12.62	16.44	13.70	12.39	14.75	12.62
LRRC70	17.58	21.28	23.77	20.12	27.28	32.40	22.85
LOC100130740	45.07	45.52	53.52	50.58	45.20	55.41	51.66
LOC100130744	36.48	33.22	29.96	26.99	24.36	26.47	21.95
AGAP2-AS1	61.21	69.32	46.05	62.87	56.49	53.36	59.62
LOC100130797	98.57	104.89	68.82	82.46	172.18	82.12	158.94
LOC100130816	20.58	26.68	25.58	21.15	22.25	19.53	26.46
LOC100130840	156.69	139.28	133.22	171.14	59.55	85.69	69.09
LOC100130862	112.74	102.66	218.79	158.23	202.26	169.15	128.82
LOC100130868	11.40	11.44	10.00	12.78	12.74	10.81	12.94
LOC100130885	194.63	214.26	133.26	110.65	82.58	74.80	93.51
LOC100130905	53.44	55.83	58.22	57.77	53.30	49.98	59.27
LOC100130938	34.79	37.77	52.58	29.01	28.47	33.69	38.67
SYCE1L	41.34	51.54	34.84	43.16	63.12	48.72	53.87
LOC100130964	15.03	15.32	15.99	17.19	18.78	20.25	16.70
C6orf99	25.50	26.03	23.44	27.16	21.98	26.76	25.50
LOC100130979	48.19	40.28	39.37	37.53	35.85	34.68	43.69
LOC100130992	15.26	13.23	12.81	14.82	13.78	14.37	15.02
LOC100130998	24.59	20.16	21.95	21.49	19.97	24.13	23.40
LOC100131005	110.52	73.22	69.38	85.50	61.58	63.84	85.97
LOC100131014	21.80	19.17	24.11	25.17	22.02	21.40	20.90
LOC100131015	77.43	61.53	96.29	87.75	82.98	96.07	73.59
ZNF316	282.83	310.12	234.04	239.34	124.72	91.51	139.34
LOC100131040	50.40	38.13	34.89	54.71	50.73	46.85	56.49
LOC100131056	17.10	19.47	14.82	14.61	19.47	24.71	19.62
LOC100131081	60.00	63.96	53.44	49.53	50.11	62.09	55.53
LOC100131093	96.59	113.30	75.82	93.00	113.91	124.60	198.93
TNRC6C-AS1	59.23	46.27	49.36	40.52	40.56	45.02	47.68
LOC100131110	398.13	348.04	390.59	367.73	402.07	400.79	455.97
LOC100131112	76.73	82.98	109.44	83.65	94.80	107.48	75.19
LINC01405	23.60	24.29	27.78	36.92	23.53	17.86	26.47
VN1R95P	145.52	233.97	251.46	200.99	155.90	137.33	157.81
LOC100131164	187.14	117.74	170.96	125.70	188.04	198.83	203.43
LOC100131177	30.12	30.91	31.81	59.04	34.87	33.47	25.97
TSTD1	1251.72	1349.30	1062.02	1333.96	466.20	291.05	358.07
NEMP2	44.71	53.16	68.32	65.96	49.87	40.75	56.26
ZNF503-AS2	77.74	58.94	48.22	63.96	78.44	56.21	49.90
LOC100131226	82.46	57.52	58.93	64.00	46.17	48.51	47.94
GAFA1	23.31	22.49	23.54	24.09	24.62	23.89	24.14
LOC100131283	10.00	10.09	11.42	13.75	17.50	17.36	11.52
LOC100131298	18.98	16.25	17.50	18.26	17.34	16.66	20.85
LOC100131311	27.17	30.20	21.77	28.47	32.43	32.27	30.78
LOC100131345	13.67	15.35	15.33	16.49	12.86	15.44	13.26
LOC100131347	83.58	173.72	80.97	82.73	126.18	108.61	91.90
LOC100131354	21.22	21.56	24.53	24.39	25.41	25.91	24.23
LINC00605	33.17	51.40	43.28	47.45	41.34	35.27	40.16
LOC100131402	286.86	267.58	179.96	124.63	205.03	164.78	120.13
LOC100131413	21.29	19.25	25.30	23.06	19.04	25.63	20.86
LOC100131414	135.66	172.95	127.29	168.24	192.30	172.18	176.53
LOC100131435	16.44	18.99	16.03	18.21	19.38	19.29	18.32
LOC100131455	54.94	58.82	55.44	49.98	73.02	61.18	75.79
LOC100131480	13.73	16.72	19.13	14.20	15.54	15.70	21.00
LOC100131498	19.77	21.49	18.84	20.80	16.07	18.39	19.52
LOC100131512	43.71	45.36	36.73	41.00	63.95	54.27	52.80
LOC100131556	1024.28	1033.34	930.98	878.14	510.02	512.67	489.51
FKSG29	52.49	46.51	40.02	41.11	51.52	48.17	37.93
LOC100131564	103.29	89.80	115.35	98.87	62.12	61.81	56.19
LOC100131601	30.07	29.83	41.30	29.79	27.31	19.23	34.05
LOC100131613	22.85	21.06	25.56	16.45	17.87	17.99	17.82
LOC100131637	30.33	31.58	28.96	27.97	58.51	59.96	62.39
LOC100131642	119.23	77.23	93.68	111.18	73.24	75.06	86.96
BCGF1	10.77	8.84	9.89	10.48	11.13	11.07	11.15
LOC100131662	17.32	17.08	16.01	15.21	20.33	20.21	16.50
LOC100131664	17.83	16.37	19.40	16.55	15.81	23.93	16.65
LOC100131683	59.36	59.91	45.45	45.95	65.15	69.08	60.24
LOC100131721	69.45	62.22	70.40	69.09	70.03	67.70	54.02
LOC100131728	61.78	68.69	54.53	64.90	79.06	68.22	53.46
LOC100131731	151.88	137.69	133.20	108.59	268.37	225.82	258.51
USP30-AS1	63.37	62.81	57.47	59.65	57.34	43.71	58.81
PET100	302.29	354.17	281.52	446.53	111.21	121.64	130.62
UBE2DNL	49.10	63.41	41.68	37.99	46.97	44.37	40.10
ZNF717	109.04	147.76	82.48	136.31	121.82	120.90	90.46
LOC100131864	85.52	115.25	103.88	87.32	70.28	67.07	71.76
LOC100131869	27.99	23.55	25.67	29.17	23.90	21.29	20.87
LOC100131904	34.21	40.13	28.40	33.96	49.45	31.13	36.54
LOC100131914	34.03	36.88	35.03	28.35	30.84	27.03	29.04
MUSP1	141.75	94.57	114.49	144.54	89.20	143.15	121.33
LOC100131989	90.42	109.11	102.09	75.81	284.17	301.69	214.63
RRN3P3	38.59	53.91	90.08	107.63	75.33	46.35	70.09
LOC100132051	16.92	17.26	18.30	15.39	19.22	15.74	19.80
LOC100132078	18.27	18.12	19.70	21.25	18.40	17.45	20.02
LOC100132129	140.25	133.04	63.95	141.34	122.77	180.27	135.47
FKSG41	31.02	39.07	29.98	29.20	33.71	37.74	32.18
LINC00543	30.60	20.41	23.30	22.28	27.15	28.48	29.51
LOC100132279	49.05	26.26	18.44	23.36	46.68	36.91	25.36
MST075	111.11	57.24	86.88	59.14	94.44	84.92	122.85
LOC100132302	26.18	27.97	24.58	30.20	26.98	24.51	23.24
LOC100132319	27.76	29.47	33.32	33.83	26.44	32.66	29.24
LOC100132323	199.54	108.26	201.70	151.26	103.48	84.37	73.81
CLUHP3	216.39	147.26	189.97	174.37	100.27	82.66	77.89
LOC100132356	27.98	32.04	26.39	29.59	46.16	49.05	43.34
LOC100132369	34.25	34.02	32.45	45.52	32.45	29.09	29.38
KRTAP4-9	25.69	22.47	22.04	25.99	20.36	24.20	21.40
LOC100132430	883.81	718.38	803.69	982.01	532.19	455.50	465.39
XGY2	19.85	19.29	19.20	19.41	18.84	20.12	22.21
ZRANB2-AS1	21.08	25.02	23.23	25.81	24.92	22.81	22.91
LOC100132625	36.20	52.11	37.52	37.44	41.61	30.82	42.21
LOC100132634	62.77	81.61	74.77	85.26	52.08	51.85	54.04
LOC100132661	27.86	47.83	36.73	33.47	24.44	22.32	23.39
PAXIP1-AS2	48.57	45.88	64.58	57.38	84.13	77.54	71.61
LOC100132739	56.52	58.09	53.71	50.63	58.98	37.08	39.23
LOC100132767	25.63	31.91	29.55	29.25	26.52	27.01	23.48
LOC100132833	19.49	18.39	22.74	20.14	26.19	20.38	21.99
LOC100132884	80.25	61.18	40.26	77.95	46.79	71.61	65.48
LOC100132894	13.94	12.87	13.98	11.82	17.66	14.96	13.68
LOC100132903	325.11	345.66	266.35	289.03	222.52	221.05	210.84
DPH3P1	94.29	181.71	68.97	72.06	83.33	99.97	152.18
LOC100133019	17.24	15.55	15.06	18.67	18.82	18.20	16.76
LOC100133116	28.22	34.23	60.02	43.23	51.39	46.46	24.02
ZNF865	77.21	105.01	75.71	75.37	86.50	82.93	106.34
LOC100133166	390.97	617.54	760.76	535.63	635.96	678.83	623.13
SCDOS	5640.08	3777.20	5406.58	1218.68	1171.95	1174.64	1009.97
LINC00240	20.95	25.60	20.28	17.75	24.07	25.42	25.47
LOC100133229	52.23	68.16	43.00	43.22	39.96	56.20	47.82
LOC100133233	31.08	27.28	22.14	20.38	32.62	35.90	29.91
LOC100133236	24.28	23.66	23.14	32.40	20.13	22.29	18.47
LOC100133276	461.22	413.17	491.11	411.69	551.23	505.51	475.99
HOXA-AS3	22.67	29.04	33.62	23.93	24.59	18.93	26.21
LOC100133332	21.78	23.25	23.57	23.27	32.56	27.58	39.28
HDAC6	685.78	693.14	736.99	645.56	473.33	603.83	528.33
HDAC5	129.03	164.57	138.65	148.62	140.83	151.00	149.20
PDCD6IP	615.20	752.68	695.74	542.73	886.94	843.82	717.04
PDCD6	403.74	515.35	485.83	434.77	357.62	422.94	332.59
BCL2L10	42.22	45.26	44.35	47.36	53.48	51.69	46.27
BCL2L11	149.91	118.12	105.64	116.06	122.22	120.13	121.38
SH2B3	663.15	528.11	1237.40	1106.59	516.89	553.60	627.16
CDH3	110.23	75.73	67.26	118.50	141.20	141.61	122.42
GNE	1675.88	2530.14	2005.57	1510.80	2733.82	2661.82	2756.84
HCN4	27.29	28.26	24.93	25.62	32.16	44.47	34.54
INSL5	25.40	20.55	23.51	26.75	23.90	29.28	23.32
FRAT1	213.26	194.24	125.52	135.44	213.59	198.03	244.37
TROAP	112.85	108.89	131.77	144.33	86.54	100.40	108.41
MED16	304.69	339.96	220.31	273.92	273.16	286.22	295.80
PIGK	141.89	92.51	96.78	100.11	231.67	199.13	249.19
CDH4	46.14	44.05	36.44	45.10	34.76	28.17	33.45
CHAF1A	109.31	87.68	93.85	97.93	82.16	83.49	76.52
PARP2	155.64	287.34	219.02	215.28	263.36	272.86	308.79
PARP3	199.94	189.31	273.61	187.47	154.18	114.20	143.08
CDH5	193.72	185.94	323.23	224.83	136.31	185.66	172.02
TOM1L1	631.53	1048.20	608.16	684.50	888.48	861.67	900.64
HMGXB4	280.90	387.38	277.45	182.65	370.83	337.14	357.20
TOM1	338.03	347.53	285.43	306.96	243.54	302.71	264.72
SH2D3C	71.56	74.09	56.77	71.22	68.30	64.75	64.65
SH2D3A	23.45	21.15	18.10	22.88	17.91	17.48	19.32
MAMLD1	75.89	90.48	69.87	59.07	87.06	92.73	108.61
CST8	74.64	66.74	60.27	75.34	61.49	59.05	52.92
RANBP9	120.08	192.30	184.64	202.87	166.44	178.95	157.85
DNAJB6	83.89	79.06	157.65	146.58	194.69	174.45	176.23
CDH6	19.01	19.96	18.67	19.87	22.09	20.97	21.79
SLC17A4	174.20	1026.34	851.46	183.60	487.92	784.70	774.11
SMC4	153.21	82.00	94.83	92.19	185.62	209.56	158.89
GJC1	34.43	36.05	39.95	42.86	46.03	42.04	39.19
AP1M2	121.21	132.91	95.57	100.98	85.11	84.34	73.65
UBA2	976.38	1087.73	1074.02	972.60	1912.71	1822.24	1922.94
SAE1	340.95	299.81	301.16	334.07	274.43	350.14	324.73
FARSB	624.22	617.80	793.89	689.59	500.87	480.64	559.93
ABCC5	124.96	76.70	109.11	101.00	98.35	105.03	115.17
ABCB6	222.40	322.58	255.10	259.36	245.47	232.87	223.50
DNM1L	76.18	48.82	104.15	78.28	63.06	68.65	60.77
CDH7	35.13	37.13	34.37	32.47	38.69	30.47	24.75
ABCC9	21.82	37.31	31.15	27.61	69.96	69.22	62.28
ABCF2	148.80	134.82	129.99	147.29	151.11	161.20	176.79
NR1H3	391.45	463.78	454.08	515.92	430.27	360.26	310.04
SCAMP2	1267.35	1180.11	1112.20	975.70	613.07	521.74	571.69
SCAMP3	738.06	534.00	529.36	524.32	384.33	380.01	414.26
IL18BP	185.34	83.51	159.12	125.34	82.60	104.46	118.23
RWDD2B	419.99	440.68	255.79	430.42	426.14	444.43	405.60
CDH8	28.06	28.20	28.49	34.18	35.17	31.68	33.49
MUC12	30.15	36.22	31.48	32.52	27.26	35.29	22.54
DPP3	213.65	160.17	177.71	141.78	104.53	108.16	145.88
SNUPN	276.09	260.82	271.16	298.90	286.78	314.50	344.72
HUWE1	195.81	172.36	220.86	145.45	213.32	223.22	202.05
PTPRU	220.02	159.59	168.99	196.20	166.53	176.93	178.37
TSPAN32	79.75	83.81	66.13	56.76	55.53	52.74	60.55
TSSC4	168.04	186.35	202.26	158.66	131.49	129.54	125.23
ATP9A	219.69	199.63	247.09	322.40	379.30	383.85	356.98
CDH9	20.32	17.22	16.51	17.07	21.02	18.74	18.03
PDCD7	246.44	160.61	200.24	175.14	393.19	350.34	446.06
GPC6	673.81	726.84	671.67	432.87	538.13	519.22	423.20
USH1C	70.37	86.71	78.74	71.43	93.79	58.71	99.81
PQBP1	200.53	208.44	228.70	291.05	171.01	173.25	161.90
EDIL3	23.16	25.30	25.63	28.11	21.69	26.54	28.22
HHLA1	75.55	144.51	98.11	77.31	154.89	167.06	168.37
COL4A3BP	288.63	361.79	234.57	314.95	424.20	458.48	373.56
KCNK7	49.01	46.78	45.70	42.60	31.28	37.39	35.49
CDH10	24.30	23.19	26.98	25.97	36.77	26.04	27.72
UST	37.12	38.78	31.12	38.05	37.12	35.24	38.32
ARPC5	424.46	497.21	712.82	705.65	542.51	578.91	495.76
ARPC4	226.87	172.61	131.24	157.93	170.67	233.05	232.58
ARPC1B	1736.42	925.31	1396.40	1216.74	811.92	692.80	660.45
ACTR3	565.74	672.27	680.05	753.41	951.92	969.50	971.32
ACTR2	725.43	578.91	933.82	703.30	680.05	651.04	540.86
TSPAN5	51.08	67.05	38.77	39.73	64.94	47.42	42.88
TSPAN3	316.86	163.13	242.44	310.12	329.79	365.82	275.19
CDH11	69.58	36.86	33.24	34.14	67.04	65.09	55.76
ADA	79.36	56.19	84.53	83.06	71.69	77.86	69.05
