GENE	Liver_Normal.Tissue: GSM176332	Liver_Normal.Tissue: GSM176333	Liver_Normal.Tissue: GSM176334	Liver_Normal.Tissue: GSM176335	Liver_Normal.Tissue: GSM279063	Liver_Normal.Tissue: GSM279064	Liver_Normal.Tissue: GSM279065
ZNF821	63.31	68.38	62.24	78.82	58.85	57.43	46.53
DNAH3	59.96	57.32	55.48	57.61	50.03	49.58	70.31
GALNT10	45.52	54.80	75.69	49.87	53.36	58.37	56.46
CNOT11	349.73	415.21	497.93	314.41	550.16	543.79	577.27
FOXRED1	801.58	886.94	666.15	700.97	511.89	574.71	639.90
CDV3	115.25	177.32	129.69	194.93	114.95	102.63	85.56
STAB2	286.70	400.65	326.24	263.49	165.55	169.28	168.70
NAGK	804.97	671.95	798.58	765.42	306.00	311.80	279.65
SUPT20H	173.08	154.47	175.28	150.60	310.04	269.47	267.15
PRIM1	76.82	116.58	89.12	74.85	68.69	69.44	76.17
CHRNA9	20.41	21.82	19.75	18.27	19.74	18.13	17.35
UBE2Q1	51.09	50.84	51.67	57.42	54.29	66.28	52.79
MIOX	41.42	49.34	52.55	44.17	38.25	34.44	36.41
MED29	150.38	87.56	107.43	90.98	141.03	165.34	139.18
BMP2K	48.71	36.52	51.28	80.69	58.54	64.10	59.42
PRIM2	15.47	16.42	15.16	13.49	13.74	13.54	12.59
VEZT	56.36	65.07	52.13	71.86	139.51	124.16	123.35
GOLGA2P5	176.84	203.38	167.09	139.51	67.40	139.25	129.31
OTUD5	181.98	226.98	200.84	195.90	164.86	115.54	160.84
ZCCHC8	561.48	730.78	570.07	463.78	1000.70	1132.82	1027.77
RNPC3	234.82	202.66	158.86	107.96	143.19	204.78	142.87
ITLN1	42.95	33.34	48.87	51.97	39.30	37.48	47.80
DDX60	159.97	55.85	55.05	89.16	95.47	100.29	110.38
CDKN2AIP	115.74	139.41	153.66	193.61	265.49	245.91	229.52
FAM46A	228.46	221.32	243.47	192.74	265.21	270.20	238.10
LRRC16A	92.81	60.45	58.57	60.50	62.09	60.41	64.02
KIF21A	112.43	86.43	112.41	110.67	184.87	211.97	109.61
PPP1R9A	32.50	36.41	35.18	34.39	28.43	28.13	30.07
ANKRD10	627.73	448.36	510.37	389.96	962.81	1045.30	989.05
ZNF280C	22.12	20.85	24.90	27.13	30.46	28.38	32.02
VPS50	20.63	21.36	22.38	19.67	24.13	24.60	23.40
OTUB1	512.11	530.17	508.11	491.62	289.20	246.63	264.50
FERMT1	60.33	59.90	68.15	63.61	56.94	65.30	54.17
MTMR8	26.94	29.53	27.68	30.44	27.66	24.92	27.78
KIF16B	29.20	28.12	26.80	28.92	44.54	44.21	39.87
PRR5	313.06	246.95	224.13	274.66	157.54	158.35	161.28
ASAP3	238.91	193.90	367.40	352.90	256.20	299.39	259.43
TASP1	52.87	46.22	40.84	40.92	72.51	75.79	72.03
DOCK10	36.28	29.03	53.20	42.12	46.24	58.35	45.45
STAP2	489.68	442.92	360.91	508.50	260.96	234.64	251.25
TRMT1	84.45	66.71	62.60	67.04	74.23	60.16	84.90
TTC27	123.20	114.73	117.76	101.46	172.57	191.83	209.50
THUMPD1	292.66	394.31	300.91	285.04	501.95	400.54	448.20
POMGNT1	79.79	62.45	95.27	103.31	88.83	99.04	108.33
ZDHHC7	765.42	681.61	721.87	680.99	583.91	677.56	761.92
AMBRA1	46.04	54.99	51.03	55.97	67.72	59.98	60.33
ZNF407	108.96	101.79	94.24	91.90	93.64	96.16	119.29
PNRC2	146.69	229.22	233.73	184.75	145.48	130.36	117.30
PRKAA1	111.16	134.62	114.98	110.34	314.78	280.98	282.77
SLC39A4	133.57	100.89	68.83	87.87	68.80	62.49	65.15
LRRC40	322.94	507.55	512.11	396.48	521.96	477.71	558.38
G2E3	36.80	46.79	44.00	34.03	63.38	63.57	58.58
TBC1D22B	66.63	59.88	67.71	68.18	51.81	60.87	63.73
KRBOX4	317.41	263.56	188.98	230.48	427.59	375.90	413.43
DEPDC1	25.66	24.99	32.29	33.05	23.22	19.73	23.48
CHD7	216.95	207.02	194.20	252.07	225.88	292.74	279.96
SYBU	937.84	686.73	829.44	456.92	837.30	932.66	879.17
PRKAA2	19.14	24.59	21.45	20.21	30.96	32.18	29.87
FLVCR2	153.81	110.38	174.24	193.81	200.49	202.62	218.00
BTBD2	173.81	145.84	157.62	182.87	133.64	147.79	193.07
OSGEP	134.82	136.90	157.47	151.73	96.14	102.99	93.41
LYAR	157.31	167.06	156.89	155.07	132.62	103.88	99.43
RAB20	923.07	568.93	583.18	908.66	816.83	879.17	1068.74
PRKAB1	82.25	77.74	100.63	95.00	119.09	139.94	131.21
PIGV	346.59	455.66	357.43	311.63	404.78	390.83	400.54
NHP2	324.35	418.88	357.85	484.42	352.90	357.52	314.04
SLC48A1	313.60	292.50	303.40	352.80	218.00	235.50	290.40
BCAS4	67.46	74.98	70.83	71.41	74.13	57.61	57.33
TMEM127	390.34	238.54	298.05	355.89	434.77	434.04	401.18
NLRP2	37.31	32.35	41.79	24.92	26.41	32.45	32.85
INTS8	440.68	621.75	649.28	448.20	772.93	733.32	569.60
ZNF692	416.97	436.82	413.43	392.43	475.17	494.66	492.88
RNF126	162.03	130.36	173.85	200.28	156.58	131.08	127.18
ZNF416	35.42	32.56	32.76	28.89	33.97	27.54	33.64
PRKAB2	607.61	887.99	667.95	523.34	801.13	876.07	767.75
PRPF40A	383.00	382.28	440.68	370.60	408.76	347.53	355.35
DDX27	781.01	761.55	645.29	735.51	749.25	589.93	691.17
HIF1AN	129.78	124.40	146.62	111.03	132.56	130.21	133.99
ZNF446	276.99	298.05	250.12	237.60	209.56	183.51	187.85
CDC37L1	301.77	340.24	305.30	326.15	580.36	623.39	507.93
URGCP	605.34	542.51	514.95	578.19	745.11	715.60	804.14
NPLOC4	857.74	675.35	768.55	648.74	754.98	814.18	890.02
DENND4C	362.79	418.07	417.78	377.18	659.85	683.83	641.01
GPATCH2L	23.66	28.58	28.23	24.72	33.65	29.12	24.47
MFN1	79.41	65.03	74.06	82.58	135.57	150.35	130.46
PRKACA	241.94	223.50	245.40	273.01	171.17	146.29	143.88
PEX26	30.14	32.75	39.01	43.66	34.24	43.80	32.15
PPP4R3A	357.85	421.94	492.00	405.06	371.50	365.24	323.79
SLC30A6	68.92	39.50	98.98	39.17	71.16	66.80	51.43
IWS1	272.86	247.88	248.53	206.13	203.95	227.58	204.05
LIMS2	291.53	442.77	369.90	348.57	296.38	356.88	396.84
PRKACB	225.52	195.75	236.62	143.50	227.51	240.60	194.69
RUFY2	14.30	14.89	14.64	16.17	16.99	16.62	14.92
SCYL2	413.72	406.64	416.71	394.94	593.33	503.45	477.88
KANSL3	455.97	516.10	398.49	387.86	435.49	448.82	428.16
RABL6	264.57	299.39	223.96	258.80	133.89	154.36	139.82
MREG	96.63	123.81	87.91	62.03	142.78	147.29	152.66
TRMU	147.36	126.99	218.50	164.65	166.61	183.74	196.24
YEATS2	66.58	66.83	83.09	90.94	147.07	109.04	129.71
PRKACG	92.64	78.34	54.81	98.22	50.92	48.33	51.97
PACS1	167.46	144.44	155.52	133.95	96.83	100.01	107.43
FRMD4A	226.63	252.55	252.60	179.07	186.44	176.45	178.90
LUC7L	248.86	278.13	269.10	189.45	358.94	332.31	360.14
KDM4D	34.23	30.97	37.81	31.50	36.23	39.38	34.49
NSUN5	81.37	75.34	77.48	115.54	114.92	144.33	107.38
RBM22	183.05	201.96	226.29	162.97	285.43	276.53	268.37
VAC14	193.66	211.81	125.02	144.02	167.63	180.63	137.49
RADIL	154.33	158.55	152.00	172.02	135.92	113.27	113.91
IARS2	940.77	1225.54	978.21	928.14	1249.64	1195.83	1214.80
PKIA	31.50	37.93	36.53	33.60	28.17	27.28	36.00
MAP7D1	185.89	114.20	112.51	160.96	131.99	126.36	98.64
ARHGEF40	643.28	735.51	618.06	502.16	1009.34	1012.64	1125.23
CCDC94	254.88	219.75	183.23	166.61	147.57	155.64	159.43
POLR3B	386.28	382.89	368.98	380.72	507.55	488.29	538.54
CCDC88A	38.53	43.80	47.04	39.91	37.66	45.20	27.54
IPO9	71.05	65.87	70.90	66.45	65.22	67.89	67.98
NDC1	25.39	26.08	39.62	32.93	46.11	45.09	37.07
NECAP2	508.32	337.84	402.21	401.82	303.74	295.05	332.71
KBTBD4	47.56	46.88	44.89	55.19	65.21	65.60	54.10
PKIB	13.06	14.63	15.18	15.14	22.99	21.66	23.14
FAR2	56.92	47.73	79.26	50.87	42.90	43.01	38.09
ZNF334	15.95	21.44	21.81	17.10	20.73	22.40	19.08
TENM3	28.46	29.49	30.55	31.95	29.52	31.85	26.04
DOK4	145.84	143.71	135.89	182.10	101.37	121.73	115.60
LMBR1L	315.68	427.86	335.55	284.17	208.23	235.93	250.73
WDR11	398.88	340.14	398.88	374.96	581.04	522.14	517.06
POLR3E	269.32	289.28	312.78	316.75	393.33	343.89	387.62
SLF2	86.96	113.19	129.37	119.23	115.41	109.80	110.48
PRKAG1	673.20	655.70	750.03	683.55	400.93	412.51	464.59
TSR1	59.33	77.00	52.51	102.44	80.11	80.58	86.80
IQCC	194.39	166.81	163.81	135.57	50.23	53.51	61.78
CEP72	49.73	91.70	55.73	47.68	41.34	55.74	52.83
ASF1B	156.47	146.58	186.55	158.08	91.16	89.98	66.97
ASUN	187.10	150.79	271.52	234.64	186.21	276.84	195.21
BTBD7	195.56	184.20	195.08	151.33	294.97	278.90	244.76
